brand,model,form_factor,frequency_response,has_microphone,is_wireless,type,color,price
Coby,CV145BLU,Supra-aural,,False,False,Closed,Black,"['USD', '0.00']"
Coby,CV145RED,Supra-aural,,False,False,Closed,Black / Red,"['USD', '0.00']"
Coby,CV145SVR,Supra-aural,,False,False,Closed,Black / Silver,"['USD', '0.00']"
Coby,CV18523BLK,Supra-aural,,False,False,Closed,Black,"['USD', '0.00']"
Coby,CV18523RED,Circumaural,,False,False,Closed,Black / Red,"['USD', '0.00']"
Coby,CV195,Circumaural,,False,False,Closed,Black,"['USD', '0.00']"
Coby,CV400GRN,Supra-aural,,False,False,Closed,Black / Red,"['USD', '0.00']"
Coby,CV400GRN,Supra-aural,,False,False,Closed,Black / Green,"['USD', '0.00']"
Coby,CVH32,Supra-aural,,False,False,Closed,Black,"['USD', '0.00']"
Cooler Master,CM Storm Pulse-R,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / White,"['USD', '0.00']"
Cooler Master,CM Storm Sirus 5.1 w/ Tactical Mixing Console,Circumaural,"{'min': 10.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
Cooler Master,CM Storm Sirus S,Circumaural,"{'min': 10.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Cooler Master,CM Storm Sonuz,Circumaural,"{'min': 10.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Cooler Master,Ceres -400,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '29.99']"
Cooler Master,Ceres 300,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Semi-open,Black / White,"['USD', '0.00']"
Cooler Master,MH630,Circumaural,"{'min': 15.0, 'max': 25000.0, 'default': None}",True,False,Closed,Black,"['USD', '59.99']"
Cooler Master,MH650,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '66.98']"
Cooler Master,MH670,Circumaural,"{'min': 15.0, 'max': 25000.0, 'default': None}",True,True,Closed,Black,"['USD', '103.99']"
Cooler Master,MH751,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '80.00']"
Cooler Master,MH752,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '85.99']"
Cooler Master,Storm Ceres400,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Corsair,Gaming H2100,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Yellow,"['USD', '0.00']"
Corsair,H1500,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Yellow,"['USD', '0.00']"
Corsair,H2100,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Yellow,"['USD', '0.00']"
Corsair,HS35,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '39.99']"
Corsair,HS45 SURROUND,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '39.99']"
Corsair,HS50,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Gray,"['USD', '0.00']"
Corsair,HS50,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Green,"['USD', '0.00']"
Corsair,HS50,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Blue,"['USD', '0.00']"
Corsair,HS50 PRO STEREO,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Green,"['USD', '0.00']"
Corsair,HS50 PRO STEREO,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Blue,"['USD', '0.00']"
Corsair,HS50 PRO STEREO,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '40.93']"
Corsair,HS60,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / White,"['USD', '69.98']"
Corsair,HS60 HAPTIC,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Gray,"['USD', '129.99']"
Corsair,HS60 PRO SURROUND,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '49.99']"
Corsair,HS60 PRO SURROUND,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Yellow,"['USD', '62.35']"
Corsair,HS60 Surround (Black),Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '69.95']"
Corsair,HS70,Circumaural,,True,True,Closed,Black,"['USD', '0.00']"
Corsair,HS70,Circumaural,,True,True,Closed,White / Black,"['USD', '219.00']"
Corsair,HS70 Bluetooth,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black,"['USD', '79.98']"
Corsair,HS70 PRO,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Beige,"['USD', '99.99']"
Corsair,HS70 PRO,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black,"['USD', '0.00']"
Corsair,HS70 SE,Circumaural,,True,True,Closed,Black / Beige,"['USD', '225.00']"
Corsair,HS70 WIRELESS,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black,"['USD', '0.00']"
Corsair,Raptor H3,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Corsair,Raptor H5,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Corsair,Raptor HS30,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Corsair,Raptor HS40,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Corsair,Raptor LH2,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
Corsair,VOID,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Corsair,VOID,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Corsair,VOID,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black,"['USD', '0.00']"
Corsair,VOID,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,White / Black,"['USD', '0.00']"
Corsair,VOID ELITE SURROUND,Circumaural,"{'min': 20.0, 'max': 30000.0, 'default': None}",True,False,Closed,Black,"['USD', '79.99']"
Corsair,VOID ELITE SURROUND,Circumaural,"{'min': 20.0, 'max': 30000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '79.98']"
Corsair,VOID PRO RGB (Black),Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black,"['USD', '0.00']"
Corsair,VOID PRO RGB (White/Black),Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,White / Black,"['USD', '0.00']"
Corsair,VOID PRO RGB USB (Black),Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '110.00']"
Corsair,VOID PRO RGB USB (White/Black),Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,White / Black,"['USD', '0.00']"
Corsair,VOID PRO Surround (Black),Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '174.65']"
Corsair,VOID PRO Surround (Black/Red),Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Corsair,VOID RGB ELITE,Circumaural,"{'min': 20.0, 'max': 30000.0, 'default': None}",True,True,Closed,White,"['USD', '99.99']"
Corsair,VOID RGB ELITE,Circumaural,"{'min': 20.0, 'max': 30000.0, 'default': None}",True,True,Closed,Black,"['USD', '97.99']"
Corsair,VOID RGB ELITE,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,White,"['USD', '0.00']"
Corsair,VOID RGB ELITE,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '59.99']"
Corsair,VOID Special Edition Yellowjacket,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Yellow,"['USD', '0.00']"
Corsair,VOID Stereo,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Corsair,Vengeance 1300,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Blue,"['USD', '0.00']"
Corsair,Vengeance 1400,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Blue,"['USD', '0.00']"
Corsair,Vengeance 1500,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Blue,"['USD', '0.00']"
Corsair,Vengeance 1500 v2,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Blue,"['USD', '0.00']"
Corsair,Vengeance 2000,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Blue,"['USD', '336.59']"
Corsair,Vengeance 2100,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Blue,"['USD', '0.00']"
Corsair,Virtuoso RGB,Circumaural,"{'min': 20.0, 'max': 40000.0, 'default': None}",True,True,Closed,White,"['USD', '179.99']"
Corsair,Virtuoso RGB,Circumaural,"{'min': 20.0, 'max': 40000.0, 'default': None}",True,True,Closed,Black,"['USD', '179.99']"
Corsair,Virtuoso RGB SE,Circumaural,"{'min': 20.0, 'max': 40000.0, 'default': None}",True,True,Closed,Black,"['USD', '209.99']"
Cougar,IMMERSA,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Orange,"['USD', '0.00']"
Cougar,IMMERSA TI,Circumaural,,True,False,Closed,Black / Orange,"['USD', '49.99']"
Cougar,MEGARA,Earbud,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Orange,"['USD', '0.00']"
Cougar,PHONTUM ESSENTIAL,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '39.99']"
Cougar,Phontum,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Orange,"['USD', '0.00']"
Creative Labs,51EF0480AA002,Earbud,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,True,Closed,Black / Silver,"['USD', '0.00']"
Creative Labs,51EF0610AA010,In Ear,"{'min': 6.0, 'max': 23000.0, 'default': None}",False,False,Closed,Black / Blue,"['USD', '20.00']"
Creative Labs,51EF0650AA005,Supra-aural,"{'min': 10.0, 'max': 20000.0, 'default': None}",True,False,Closed,White,"['USD', '0.00']"
Creative Labs,51MZ0210AA007,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '25.00']"
Creative Labs,70GH030000000,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,True,Closed,Black,"['USD', '99.00']"
Creative Labs,Aurvana In-Ear2,In Ear,"{'min': 15.0, 'max': 16000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
Creative Labs,Aurvana In-Ear3,In Ear,"{'min': 10.0, 'max': 17000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
Creative Labs,Aurvana Live!,Circumaural,"{'min': 10.0, 'max': 30000.0, 'default': None}",False,False,Closed,Black,"['USD', '0.00']"
Creative Labs,Aurvana Live!,Circumaural,"{'min': 10.0, 'max': 30000.0, 'default': None}",False,False,Closed,Black,"['USD', '166.59']"
Creative Labs,Aurvana Live! 2,Circumaural,"{'min': 10.0, 'max': 30000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
Creative Labs,ChatMax HS-420,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
Creative Labs,ChatMax HS-620,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '26.55']"
Creative Labs,ChatMax HS-720,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '100.59']"
Creative Labs,Creative Fatal1ty,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '158.87']"
Creative Labs,DRACO HS880,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '50.99']"
Creative Labs,EF0330AA001,Supra-aural,,False,False,Closed,Black / Silver,"['USD', '0.00']"
Creative Labs,EP-630,In Ear,"{'min': 6.0, 'max': 23000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
Creative Labs,EP-660,In Ear,"{'min': 6.0, 'max': 23000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '49.99']"
Creative Labs,EP-830,In Ear,"{'min': 6.0, 'max': 23000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
Creative Labs,EVO Wireless,Circumaural,,True,True,Closed,Black / Red,"['USD', '59.99']"
Creative Labs,EVO Zx,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Red,"['USD', '0.00']"
Creative Labs,EVO ZxR,Circumaural,,True,True,Closed,Black / Red,"['USD', '0.00']"
Creative Labs,H3,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Creative Labs,H5,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Creative Labs,HITZ MA200 Black,In Ear,"{'min': 8.0, 'max': 22000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Creative Labs,HITZ MA200 Green,In Ear,"{'min': 8.0, 'max': 22000.0, 'default': None}",True,False,Closed,Green / White,"['USD', '33.99']"
Creative Labs,HITZ MA2400,Supra-aural,"{'min': 15.0, 'max': 20000.0, 'default': None}",True,False,Closed,White,"['USD', '0.00']"
Creative Labs,HITZ MA2400,Supra-aural,"{'min': 15.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Creative Labs,HITZ MA350 Green,In Ear,"{'min': 6.0, 'max': 23000.0, 'default': None}",True,False,Closed,Green / White,"['USD', '0.00']"
Creative Labs,HITZ MA350 Red,In Ear,"{'min': 6.0, 'max': 23000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '20.00']"
Creative Labs,HQ-1450,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
Creative Labs,HQ-1600,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black / Beige,"['USD', '92.59']"
Creative Labs,HS-420,Supra-aural,,True,False,Closed,Black / Silver,"['USD', '0.00']"
Creative Labs,HS-620,Circumaural,,True,False,Closed,Black / Silver,"['USD', '0.00']"
Creative Labs,HS-720,Supra-aural,,True,False,Closed,Black / Silver,"['USD', '0.00']"
Creative Labs,HS-800 Fatal1ty,Circumaural,,True,False,Closed,Black / Red,"['USD', '0.00']"
Creative Labs,Hn-900,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,True,Closed,Black / Silver,"['USD', '0.00']"
Creative Labs,Hs-430,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '71.59']"
Creative Labs,MA200,In Ear,"{'min': 8.0, 'max': 22000.0, 'default': None}",False,False,Closed,Red / White,"['USD', '0.00']"
Creative Labs,MA200,In Ear,"{'min': 8.0, 'max': 22000.0, 'default': None}",False,False,Closed,Black / Purple,"['USD', '0.00']"
Creative Labs,MA2600,Circumaural,"{'min': 10.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Creative Labs,P5,Earbud,,True,False,Closed,Black / Red,"['USD', '0.00']"
Creative Labs,Recon3D Omega,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black,"['USD', '0.00']"
Creative Labs,SUPER X-FI AIR,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,White / Black,"['USD', '0.00']"
Creative Labs,SUPER X-FI AIR C,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Blue,"['USD', '0.00']"
Creative Labs,Sound Blaster EVO,Circumaural,,False,False,Closed,Black / Red,"['USD', '58.99']"
Creative Labs,Sound Blaster Inferno,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Creative Labs,Sound Blaster Tactic 3D Alpha,Circumaural,,True,False,Closed,Black,"['USD', '0.00']"
Creative Labs,Sound Blaster Tactic 3D Sigma,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Creative Labs,Sound Blaster Tactic3D Alpha,Circumaural,,True,False,Closed,Black,"['USD', '0.00']"
Creative Labs,Sound Blaster Tactic3D Fury,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Creative Labs,Sound Blaster Tactic3D Sigma,Circumaural,,True,False,Closed,Black,"['USD', '0.00']"
Creative Labs,Sound BlasterX H3,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Creative Labs,Tactic3D Rage,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '199.59']"
Creative Labs,Tactic3D Rage V2.0,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
Creative Labs,Tactic3D Rage Wireless,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Red,"['USD', '224.93']"
Creative Labs,Tactic3D Rage Wireless V2.0,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Red,"['USD', '0.00']"
Creative Labs,Tactic3D Wrath Wireless,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Red,"['USD', '0.00']"
Creative Labs,WP-250,Earbud,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
Creative Labs,WP-300,Circumaural,"{'min': 18.0, 'max': 22000.0, 'default': None}",False,True,Closed,Black,"['USD', '0.00']"
Creative Labs,Wireless V2.0,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black / Red,"['USD', '0.00']"
Creative Labs,ZEN AURVANA,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black,"['USD', '481.18']"
Cyber Acoustics,AC-100B,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '5.99']"
Cyber Acoustics,AC-104,Supra-aural,,True,False,Closed,Black,"['USD', '12.72']"
Cyber Acoustics,AC-200B,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Cyber Acoustics,AC-201,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '15.99']"
Cyber Acoustics,AC-202B,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '11.99']"
Cyber Acoustics,AC-204,Supra-aural,,True,False,Closed,Black,"['USD', '14.99']"
Cyber Acoustics,AC-400MV,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Cyber Acoustics,AC-401,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Cyber Acoustics,AC-404,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
Cyber Acoustics,AC-648,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
Cyber Acoustics,AC-740,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '37.99']"
Cyber Acoustics,AC-740,Earbud,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
Cyber Acoustics,AC-744,Supra-aural,,True,False,Closed,Black / Silver,"['USD', '0.00']"
Cyber Acoustics,AC-744,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
Cyber Acoustics,AC-8001,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '22.97']"
Cyber Acoustics,AC-8003,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
Cyber Acoustics,AC-840,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '23.19']"
Cyber Acoustics,AC-850,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
Cyber Acoustics,AC-94,Earbud,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '59.59']"
Cyber Acoustics,AC-960,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '33.99']"
Cyber Acoustics,AC-9648,Circumaural,,True,False,Closed,Black / Silver,"['USD', '0.00']"
Cyber Acoustics,AC-968,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Cyber Acoustics,AC-96I,In Ear,,True,False,Closed,Black / Silver,"['USD', '0.00']"
Cyber Acoustics,AC851B,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '29.06']"
Cyber Acoustics,ACM-500RB,Circumaural,,False,False,Closed,Black,"['USD', '14.99']"
Cyber Acoustics,ACM-6005,Supra-aural,,False,False,Closed,Black,"['USD', '15.99']"
Cyber Acoustics,ACM-62,Supra-aural,,False,False,Closed,Black,"['USD', '7.33']"
Cyber Acoustics,ACM-62B,Supra-aural,"{'min': 20.0, 'max': 18000.0, 'default': None}",False,False,Closed,Black,"['USD', '19.44']"
Cyber Acoustics,ACM-7002,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '20.98']"
Cyber Acoustics,ACM-70B,Supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black,"['USD', '8.19']"
Cyber Acoustics,ACM-940,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
Cyber Acoustics,ACM-940,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black,"['USD', '73.59']"
Cyber Acoustics,HE200RB,Supra-aural,,False,False,Closed,Black / Silver,"['USD', '19.99']"
DROP,DROP + HIFIMAN HE-35X,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Open,Black,"['USD', '130.00']"
DROP,DROP + HiFiMAN HE4XX,Circumaural,"{'min': 20.0, 'max': 35000.0, 'default': None}",False,False,Open,Black,"['USD', '0.00']"
DROP,DROP + KOSS GMR-54X-ISO,Circumaural,"{'min': 15.0, 'max': 22000.0, 'default': None}",True,False,Closed,Black,"['USD', '65.00']"
DROP,Drop + MrSpeakers Ether CX,Circumaural,"{'min': 30.0, 'max': 5000.0, 'default': None}",False,False,Closed,Black,"['USD', '0.00']"
DROP,MASSDROP X AKG K7XX,Circumaural,"{'min': 10.0, 'max': 39800.0, 'default': None}",False,False,Open,Black,"['USD', '0.00']"
DROP,MASSDROP X BEYERDYNAMIC DT 177X GO,Circumaural,"{'min': 5.0, 'max': 40000.0, 'default': None}",False,False,Closed,Black,"['USD', '0.00']"
DROP,MASSDROP X KOSS ESP/95X ELECTROSTATIC SYSTEM,Circumaural,"{'min': 8.0, 'max': 35000.0, 'default': None}",False,False,Open,Black,"['USD', '0.00']"
DROP,MASSDROP X KOSS KSC75X,Supra-aural,"{'min': 15.0, 'max': 25000.0, 'default': None}",False,False,Open,Black,"['USD', '0.00']"
DROP,Massdrop Plus Universal IEM,In Ear,"{'min': 5.0, 'max': 18000.0, 'default': None}",False,False,Closed,Black,"['USD', '269.13']"
DROP,Massdrop X MEE Audio Pinnacle Px,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
DROP,Massdrop x HiFiMAN Edition XX,Circumaural,"{'min': 8.0, 'max': 50000.0, 'default': None}",False,False,Open,Black / Silver,"['USD', '0.00']"
DROP,Massdrop x MEE Audio Planamic,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Blue,"['USD', '0.00']"
DROP,Massdrop x MEE Audio Planamic,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
DROP,Massdrop x NuForce EDC,In Ear,"{'min': 20.0, 'max': 40000.0, 'default': None}",False,False,Closed,Translucent Blue,"['USD', '0.00']"
DROP,Massdrop x NuForce EDC3,In Ear,"{'min': 20.0, 'max': 40000.0, 'default': None}",False,False,Closed,Translucent Blue,"['USD', '0.00']"
DROP,Massdrop x NuForce Stride,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,True,Closed,Black,"['USD', '85.00']"
DROP,Massdrop x Sennheiser PC37X,Circumaural,"{'min': 15.0, 'max': 28000.0, 'default': None}",True,False,Open,Black,"['USD', '0.00']"
Denon,AH-C100BU,In Ear,"{'min': 5.0, 'max': 24000.0, 'default': None}",False,False,Closed,Black / Blue,"['USD', '0.00']"
Denon,AH-C300,In Ear,"{'min': 5.0, 'max': 25000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
Denon,AH-C400,Earbud,"{'min': 4.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
Denon,AH-D 340,Supra-aural,"{'min': 7.0, 'max': 37000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '134.50']"
Denon,AH-D320BU,Supra-aural,"{'min': 6.0, 'max': 37000.0, 'default': None}",False,False,Closed,Black / Red,"['USD', '0.00']"
Denon,AH-D320BU,Supra-aural,"{'min': 6.0, 'max': 37000.0, 'default': None}",False,False,Closed,Black / Blue,"['USD', '0.00']"
Denon,AH-D400,Circumaural,"{'min': 5.0, 'max': 37000.0, 'default': None}",False,False,Closed,Black / Blue,"['USD', '0.00']"
Denon,AH-D600,Circumaural,"{'min': 5.0, 'max': 45000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
